lon,lat
-63.55,44.46
-63.45,44.60
-63.00,44.72
-62.50,44.88
-61.98,45.00
-61.40,45.18
-60.98,45.33
-60.30,45.90
-59.85,46.00
-57.79873,46.00
-56.656889,45.140559
-55.1456554573,43.33261844218
-55.68125469362,42.6033004851
-56.05085314958,42.22771953875
-56.38852285113,41.85752664363
-57.0097735616,41.39016427721
-57.66101911857,41.04951089832
-58.45709619645,40.77661043992
-59.73115926281,40.56670150747
-60.37103016535,40.55566801018
-60.99776951352,40.63769695632
-61.34503695018,40.64436402001
-62.57451365555,40.92666730458
-63.03564465657,40.74553223475
-63.33333,40.48232856562
-63.33333,43.60917
-63.33333,44.3329
-63.55,44.46
